------------------------------------------------------------------------------------
Process Automation : Mon_Nov_20_15.57.29_2023
------------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': '0.05859375 MB'}
{'name': 'InstallAssistService.exe', 'pid': 5788, 'username': None, 'vms': '1.2265625 MB'}
{'name': 'MpDefenderCoreService.exe', 'pid': 5820, 'username': None, 'vms': '5.71875 MB'}
{'name': 'FNPLicensingService64.exe', 'pid': 5828, 'username': None, 'vms': '2.44140625 MB'}
{'name': 'sqlbrowser.exe', 'pid': 5876, 'username': None, 'vms': '1.47265625 MB'}
{'name': 'sqlservr.exe', 'pid': 5920, 'username': None, 'vms': '345.9375 MB'}
{'name': 'Intel_PIE_Service.exe', 'pid': 5968, 'username': None, 'vms': '1.9453125 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 5980, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.6328125 MB'}
{'name': 'conhost.exe', 'pid': 6020, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '5.2109375 MB'}
{'name': 'svchost.exe', 'pid': 6032, 'username': None, 'vms': '2.9375 MB'}
{'name': 'svchost.exe', 'pid': 6148, 'username': None, 'vms': '1.765625 MB'}
{'name': 'LMS.exe', 'pid': 6176, 'username': None, 'vms': '3.0546875 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 6188, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.65625 MB'}
{'name': 'OfficeClickToRun.exe', 'pid': 6200, 'username': None, 'vms': '36.66015625 MB'}
{'name': 'gameinputsvc.exe', 'pid': 6256, 'username': None, 'vms': '3.546875 MB'}
{'name': 'ShellExperienceHost.exe', 'pid': 6336, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '34.08984375 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 6360, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.6328125 MB'}
{'name': 'svchost.exe', 'pid': 6484, 'username': None, 'vms': '2.25390625 MB'}
{'name': 'chrome.exe', 'pid': 6588, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '198.48046875 MB'}
{'name': 'dllhost.exe', 'pid': 6596, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '5.33203125 MB'}
{'name': 'jhi_service.exe', 'pid': 6684, 'username': None, 'vms': '1.2578125 MB'}
{'name': 'LocationNotificationWindows.exe', 'pid': 6728, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '1.69921875 MB'}
{'name': 'chrome.exe', 'pid': 6748, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '80.8203125 MB'}
{'name': 'igfxEM.exe', 'pid': 6844, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '3.515625 MB'}
{'name': 'svchost.exe', 'pid': 7000, 'username': None, 'vms': '3.62109375 MB'}
{'name': 'msedge.exe', 'pid': 7008, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '18.1015625 MB'}
{'name': 'msedge.exe', 'pid': 7116, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '19.390625 MB'}
{'name': 'svchost.exe', 'pid': 7344, 'username': None, 'vms': '1.609375 MB'}
{'name': 'lmgrd.exe', 'pid': 7456, 'username': None, 'vms': '1.47265625 MB'}
{'name': 'conhost.exe', 'pid': 7696, 'username': None, 'vms': '5.55078125 MB'}
{'name': 'lmgrd.exe', 'pid': 7840, 'username': None, 'vms': '2.22265625 MB'}
{'name': 'chrome.exe', 'pid': 8072, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '26.58203125 MB'}
{'name': 'sw_d.exe', 'pid': 8088, 'username': None, 'vms': '4.89453125 MB'}
{'name': 'SystemSettings.exe', 'pid': 8288, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '68.6015625 MB'}
{'name': 'svchost.exe', 'pid': 8360, 'username': None, 'vms': '1.171875 MB'}
{'name': 'Code.exe', 'pid': 8364, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '39.3828125 MB'}
{'name': 'gamingservices.exe', 'pid': 8416, 'username': None, 'vms': '8.4921875 MB'}
{'name': 'gamingservicesnet.exe', 'pid': 8424, 'username': None, 'vms': '1.0859375 MB'}
{'name': 'UserOOBEBroker.exe', 'pid': 8456, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.01171875 MB'}
{'name': 'svchost.exe', 'pid': 8508, 'username': None, 'vms': '1.64453125 MB'}
{'name': 'PhoneExperienceHost.exe', 'pid': 8712, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '76.87890625 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 8776, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.66015625 MB'}
{'name': 'sihost.exe', 'pid': 8936, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.828125 MB'}
{'name': 'svchost.exe', 'pid': 8984, 'username': None, 'vms': '2.08984375 MB'}
{'name': 'vlc.exe', 'pid': 9188, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '31.34375 MB'}
{'name': 'chrome.exe', 'pid': 9248, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '167.19140625 MB'}
{'name': 'svchost.exe', 'pid': 9276, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '5.921875 MB'}
{'name': 'AggregatorHost.exe', 'pid': 9380, 'username': None, 'vms': '2.41796875 MB'}
{'name': 'Code.exe', 'pid': 9400, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '25.01171875 MB'}
{'name': 'svchost.exe', 'pid': 9512, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.03125 MB'}
{'name': 'svchost.exe', 'pid': 9544, 'username': None, 'vms': '2.58203125 MB'}
{'name': 'svchost.exe', 'pid': 9632, 'username': None, 'vms': '7.62109375 MB'}
{'name': 'msedge.exe', 'pid': 9848, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '49.57421875 MB'}
{'name': 'nvcontainer.exe', 'pid': 9904, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '14.35546875 MB'}
{'name': 'Code.exe', 'pid': 9956, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '392.73046875 MB'}
{'name': 'python.exe', 'pid': 9964, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '10.40625 MB'}
{'name': 'taskhostw.exe', 'pid': 10100, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.83984375 MB'}
{'name': 'chrome.exe', 'pid': 10108, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '14.52734375 MB'}
{'name': 'svchost.exe', 'pid': 10124, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '1.98046875 MB'}
{'name': 'AsusOptimizationStartupTask.exe', 'pid': 10228, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '1.421875 MB'}
{'name': 'svchost.exe', 'pid': 10260, 'username': None, 'vms': '3.72265625 MB'}
{'name': 'svchost.exe', 'pid': 10436, 'username': None, 'vms': '2.5390625 MB'}
{'name': 'msedge.exe', 'pid': 10564, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '85.625 MB'}
{'name': 'TextInputHost.exe', 'pid': 10612, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '122.109375 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 10672, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.37109375 MB'}
{'name': 'svchost.exe', 'pid': 10788, 'username': None, 'vms': '3.44921875 MB'}
{'name': 'Widgets.exe', 'pid': 10812, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '21.4296875 MB'}
{'name': 'msedge.exe', 'pid': 10980, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '63.66796875 MB'}
{'name': 'svchost.exe', 'pid': 11040, 'username': None, 'vms': '5.33203125 MB'}
{'name': 'explorer.exe', 'pid': 11068, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '381.625 MB'}
{'name': 'msedge.exe', 'pid': 11100, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.03515625 MB'}
{'name': 'ApplicationFrameHost.exe', 'pid': 11140, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '13.9609375 MB'}
{'name': 'msedge.exe', 'pid': 11284, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '91.7578125 MB'}
{'name': 'StartMenuExperienceHost.exe', 'pid': 11336, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '79.7421875 MB'}
{'name': 'svchost.exe', 'pid': 11464, 'username': None, 'vms': '5.51171875 MB'}
{'name': 'msedge.exe', 'pid': 11588, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.94140625 MB'}
{'name': 'chrome.exe', 'pid': 11592, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '33.26953125 MB'}
{'name': 'svchost.exe', 'pid': 11624, 'username': None, 'vms': '0.95703125 MB'}
{'name': 'SearchHost.exe', 'pid': 11744, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '139.19921875 MB'}
{'name': 'backgroundTaskHost.exe', 'pid': 11856, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '5.60546875 MB'}
{'name': 'chrome.exe', 'pid': 11864, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '24.5234375 MB'}
{'name': 'svchost.exe', 'pid': 11868, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '9.01171875 MB'}
{'name': 'svchost.exe', 'pid': 11876, 'username': None, 'vms': '7.609375 MB'}
{'name': 'msedge.exe', 'pid': 11952, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '7.5546875 MB'}
{'name': 'cpptools.exe', 'pid': 11956, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.2578125 MB'}
